date,portfolio_value,action,price
2025-04-14 04:00:00,10000,HOLD,0
2025-04-14 04:05:00,10000,HOLD,0
2025-04-14 04:10:00,10000,HOLD,0
2025-04-14 04:15:00,10000,HOLD,0
2025-04-14 04:20:00,10000,HOLD,0
2025-04-14 04:25:00,10000,HOLD,0
2025-04-14 04:30:00,10000,HOLD,0
2025-04-14 04:35:00,10000,HOLD,0
2025-04-14 04:40:00,10000,HOLD,0
2025-04-14 04:45:00,10000,HOLD,0
2025-04-14 04:50:00,10000,HOLD,0
2025-04-14 04:55:00,10000,HOLD,0
2025-04-14 05:00:00,10000,HOLD,0
2025-04-14 05:05:00,10000,HOLD,0
2025-04-14 05:10:00,10000,HOLD,0
2025-04-14 05:15:00,10000,HOLD,0
2025-04-14 05:20:00,10000,HOLD,0
2025-04-14 05:25:00,10000,HOLD,0
2025-04-14 05:30:00,10000,HOLD,0
2025-04-14 05:35:00,10000,HOLD,0
2025-04-14 05:40:00,10000,HOLD,0
2025-04-14 05:45:00,10000,HOLD,0
2025-04-14 05:50:00,10000,HOLD,0
2025-04-14 05:55:00,10000,HOLD,0
2025-04-14 06:00:00,10000,HOLD,0
2025-04-14 06:05:00,9988.62,HOLD,0
2025-04-14 06:10:00,10005.1,HOLD,0
2025-04-14 06:15:00,10002,HOLD,0
2025-04-14 06:20:00,9998.04,HOLD,0
2025-04-14 06:25:00,10000.4,HOLD,0
2025-04-14 06:30:00,10008.2,HOLD,0
2025-04-14 06:35:00,10000.8,HOLD,0
2025-04-14 06:40:00,10000.8,HOLD,0
2025-04-14 06:45:00,10000.8,HOLD,0
2025-04-14 06:50:00,10007.4,HOLD,0
2025-04-14 06:55:00,10001.6,HOLD,0
2025-04-14 07:00:00,10033.7,HOLD,0
2025-04-14 07:05:00,10033.7,HOLD,0
2025-04-14 07:10:00,10033.7,HOLD,0
2025-04-14 07:15:00,10033.7,HOLD,0
2025-04-14 07:20:00,10033.7,HOLD,0
2025-04-14 07:25:00,10033.7,HOLD,0
2025-04-14 07:30:00,10033.7,HOLD,0
2025-04-14 07:35:00,10033.7,HOLD,0
2025-04-14 07:40:00,10033.7,HOLD,0
2025-04-14 07:45:00,10033.7,HOLD,0
2025-04-14 07:50:00,10033.7,HOLD,0
2025-04-14 07:55:00,10033.7,HOLD,0
2025-04-14 08:00:00,10033.7,HOLD,0
2025-04-14 08:05:00,10033.7,HOLD,0
2025-04-14 08:10:00,10033.7,HOLD,0
2025-04-14 08:15:00,10033.7,HOLD,0
2025-04-14 08:20:00,10033.7,HOLD,0
2025-04-14 08:25:00,10033.7,HOLD,0
2025-04-14 08:30:00,10039.2,HOLD,0
2025-04-14 08:35:00,10057.5,HOLD,0
2025-04-14 08:40:00,10040.8,HOLD,0
2025-04-14 08:45:00,10044.7,HOLD,0
2025-04-14 08:50:00,10055.9,HOLD,0
2025-04-14 08:55:00,10061,HOLD,0
2025-04-14 09:00:00,10057.9,HOLD,0
2025-04-14 09:05:00,10045,HOLD,0
2025-04-14 09:10:00,10035.7,HOLD,0
2025-04-14 09:15:00,10049.7,HOLD,0
2025-04-14 09:20:00,10049.3,HOLD,0
2025-04-14 09:25:00,10049.3,HOLD,0
2025-04-14 09:30:00,10049.3,HOLD,0
2025-04-14 09:35:00,10049.3,HOLD,0
2025-04-14 09:40:00,10049.3,HOLD,0
2025-04-14 09:45:00,10049.3,HOLD,0
2025-04-14 09:50:00,10049.3,HOLD,0
2025-04-14 09:55:00,10049.3,HOLD,0
2025-04-14 10:00:00,10049.3,HOLD,0
2025-04-14 10:05:00,10049.3,HOLD,0
2025-04-14 10:10:00,10049.3,HOLD,0
2025-04-14 10:15:00,10049.3,HOLD,0
2025-04-14 10:20:00,10049.3,HOLD,0
2025-04-14 10:25:00,10049.3,HOLD,0
2025-04-14 10:30:00,10049.3,HOLD,0
2025-04-14 10:35:00,10049.3,HOLD,0
2025-04-14 10:40:00,10049.3,HOLD,0
2025-04-14 10:45:00,10049.3,HOLD,0
2025-04-14 10:50:00,10049.3,HOLD,0
2025-04-14 10:55:00,10049.3,HOLD,0
2025-04-14 11:00:00,10049.3,HOLD,0
2025-04-14 11:05:00,10049.3,HOLD,0
2025-04-14 11:10:00,10049.3,HOLD,0
2025-04-14 11:15:00,10049.3,HOLD,0
2025-04-14 11:20:00,10049.3,HOLD,0
2025-04-14 11:25:00,10049.3,HOLD,0
2025-04-14 11:30:00,10049.3,HOLD,0
2025-04-14 11:35:00,10049.3,HOLD,0
2025-04-14 11:40:00,10049.3,HOLD,0
2025-04-14 11:45:00,10049.3,HOLD,0
2025-04-14 11:50:00,10049.3,HOLD,0
2025-04-14 11:55:00,10049.3,HOLD,0
2025-04-14 12:00:00,10049.3,HOLD,0
2025-04-14 12:05:00,10049.3,HOLD,0
2025-04-14 12:10:00,10049.3,HOLD,0
