date,Price,SMA,EMA,RSI,BB_Mid,BB_Upper,BB_Lower,MACD,Signal,Histogram,Stoch_K,Stoch_D,ATR
2025-04-14 07:20:00,256.55,255.091,255.197,30.5385,255.091,256.2,253.982,0.108643,-0.172263,0.280905,44.9576,nan,0.972813
2025-04-14 07:25:00,256.79,255.064,255.163,29.515,255.064,256.171,253.958,0.205627,-0.0966847,0.302312,43.6506,41.8522,0.956184
2025-04-14 07:30:00,257.07,255.042,255.122,29.515,255.042,256.155,253.928,0.251343,-0.0270792,0.278422,32.5396,40.3826,0.924313
2025-04-14 07:35:00,256.82,254.996,255.092,25.0867,254.996,256.068,253.923,0.303452,0.0390269,0.264425,38.2236,38.1379,0.948292
2025-04-14 07:40:00,256.73,254.972,255.083,32.4921,254.972,256.023,253.921,0.363144,0.10385,0.259294,40.7405,37.1679,0.989842
2025-04-14 07:45:00,256.59,254.944,255.057,31.6276,254.944,255.98,253.908,0.385849,0.16025,0.225599,4.16669,27.7103,0.957711
2025-04-14 07:50:00,256.19,254.911,255.059,35.6088,254.911,255.886,253.937,0.392059,0.206612,0.185447,35.8424,26.9165,0.938588
2025-04-14 07:55:00,256.29,254.879,255.079,35.8051,254.879,255.755,254.003,0.381287,0.241547,0.13974,29.0322,23.0138,0.891546
2025-04-14 08:00:00,256.88,254.849,255.114,35.8051,254.849,255.592,254.105,0.336578,0.260553,0.0760252,43.7277,36.2008,0.856435
2025-04-14 08:05:00,256.88,254.835,255.13,34.0585,254.835,255.535,254.135,0.305695,0.269581,0.0361131,44.4442,39.0681,0.837404
2025-04-14 08:10:00,256.61,254.883,255.224,38.7209,254.883,255.77,253.997,0.325073,0.28068,0.0443935,44.4442,44.2054,0.812589
2025-04-14 08:15:00,256.85,254.936,255.293,38.1673,254.936,255.937,253.935,0.336548,0.291853,0.0446945,34.0502,40.9795,0.777403
2025-04-14 08:20:00,257.417,255.037,255.449,37.4467,255.037,256.363,253.712,0.32019,0.297521,0.0226696,49.1039,42.5327,0.758303
2025-04-14 08:25:00,257.678,255.192,255.587,38.2006,255.192,256.625,253.759,0.322845,0.302586,0.0202597,46.2364,43.1302,0.751281
2025-04-14 08:30:00,257.82,255.292,255.679,40.7637,255.292,256.809,253.775,0.366486,0.315366,0.0511199,43.7503,46.3635,0.716904
2025-04-14 08:35:00,258.29,255.413,255.785,39.1044,255.413,257,253.827,0.417358,0.335764,0.0815941,54.5853,48.1907,0.696412
2025-04-14 08:40:00,257.86,255.529,255.907,42.6753,255.529,257.24,253.817,0.463745,0.36136,0.102385,74.3589,57.5649,0.678097
2025-04-14 08:45:00,257.96,255.63,255.994,45.1144,255.63,257.394,253.866,0.532288,0.395546,0.136742,76.3636,68.4359,0.660376
2025-04-14 08:50:00,258.25,255.727,256.064,47.2759,255.727,257.509,253.945,0.545624,0.425561,0.120062,93.2926,81.3384,0.644635
2025-04-14 08:55:00,258.38,255.831,256.114,45.5704,255.831,257.558,254.105,0.557831,0.452015,0.105815,95.0278,88.228,0.630733
2025-04-14 09:00:00,258.3,255.895,256.121,55.1046,255.895,257.575,254.215,0.584167,0.478446,0.105722,89.6102,92.6436,0.681395
2025-04-14 09:05:00,257.97,255.967,256.137,53.1485,255.967,257.583,254.352,0.608521,0.504461,0.10406,77.8564,87.4981,0.674152
2025-04-14 09:10:00,257.73,256.074,256.208,62.0381,256.074,257.633,254.516,0.614288,0.526426,0.0878621,84.513,83.9932,0.718855
2025-04-14 09:15:00,258.09,256.178,256.272,61.6525,256.178,257.659,254.698,0.58548,0.538237,0.0472428,77.4338,79.9344,0.715367
2025-04-14 09:20:00,258.08,256.259,256.304,57.186,256.259,257.647,254.871,0.537109,0.538011,-0.000902057,89.508,83.8182,0.707126
2025-04-14 09:25:00,258.3,256.361,256.356,59.3603,256.361,257.599,255.123,0.52179,0.534767,-0.0129775,83.5011,83.4809,0.713759
2025-04-14 09:30:00,259.326,256.478,256.457,61.7977,256.478,257.65,255.306,0.503052,0.528424,-0.0253722,71.7164,81.5752,0.703491
2025-04-14 09:35:00,257.125,256.598,256.574,58.4282,256.598,257.744,255.453,0.500183,0.522776,-0.0225927,79.7979,78.3385,0.685386
2025-04-14 09:40:00,255.29,256.717,256.692,57.2188,256.717,257.851,255.583,0.574036,0.533028,0.0410079,88.8887,80.1343,0.68
2025-04-14 09:45:00,254.56,256.867,256.844,55.3008,256.867,258,255.734,0.449829,0.516388,-0.066559,79.044,82.5769,0.667143
2025-04-14 09:50:00,256.495,256.955,256.941,50.1311,256.955,258.11,255.799,0.200989,0.453308,-0.252319,75.7353,81.2227,0.670918
2025-04-14 09:55:00,256.35,257.055,257.038,51.3555,257.055,258.193,255.917,-0.0544739,0.351752,-0.406226,69.6964,74.8252,0.659424
2025-04-14 10:00:00,259.01,257.121,257.154,57.9197,257.121,258.37,255.872,-0.0996399,0.261473,-0.361113,51.2195,65.5504,1.11353
2025-04-14 10:05:00,258.08,257.195,257.27,57.9197,257.195,258.554,255.837,-0.145477,0.180083,-0.325561,51.542,57.486,1.37399
2025-04-14 10:10:00,257.64,257.283,257.368,54.0501,257.283,258.688,255.877,0.0324707,0.150561,-0.11809,65.1285,55.9633,1.61085
2025-04-14 10:15:00,256.848,257.342,257.426,56.8121,257.342,258.758,255.925,0.0973511,0.139919,-0.0425678,65.1285,60.5997,1.53008
2025-04-14 10:20:00,256.2,257.375,257.455,62.5419,257.375,258.795,255.954,0.111969,0.134329,-0.0223599,61.2821,63.8464,1.48793
2025-04-14 10:25:00,257.265,257.438,257.515,64.8587,257.438,258.868,256.009,0.0589294,0.119249,-0.0603195,64.701,63.7039,1.42435
2025-04-14 10:30:00,257.23,257.506,257.569,66.0809,257.506,258.922,256.089,-0.0349731,0.0884046,-0.123378,72.78,66.2544,1.36118
2025-04-14 10:35:00,258.205,257.591,257.639,69.8337,257.591,258.983,256.2,-0.0231628,0.0660911,-0.0892539,76.5081,71.3297,1.31538
2025-04-14 10:40:00,256.59,257.748,257.799,62.9692,257.748,259.178,256.318,-0.016449,0.0495831,-0.066032,78.5248,75.9376,1.27785
